yearID,teamID,W,L,R,RA
2016,CIN,68,94,716,854
2016,CLE,94,67,777,676
2016,COL,75,87,845,860
2016,DET,86,75,750,721
2016,HOU,84,78,724,701
2016,KCA,81,81,675,712
2016,LAA,74,88,717,727
2016,LAN,91,71,725,638
2016,MIA,79,82,655,682
2016,MIL,73,89,671,733
2016,MIN,59,103,722,889
2016,NYA,84,78,680,702
2016,NYN,87,75,671,617
2016,OAK,69,93,653,761
2016,PHI,71,91,610,796
2016,PIT,78,83,729,758
2016,SDN,68,94,686,770
2016,SEA,86,76,768,707
2016,SFN,87,75,715,631
2016,SLN,86,76,779,712
2016,TBA,68,94,672,713
2016,TEX,95,67,765,757
2016,TOR,89,73,759,666
2016,WAS,95,67,763,612
