playerID,teamID,HR,BB,HBP,SO,IP,ERA
choatra01,SLN,0,11,2,28,35.3333,2.29
chrisni01,CIN,1,2,1,1,4.0000,2.25
cingrto01,CIN,14,43,2,120,104.6667,2.92
cishest01,MIA,3,22,2,74,69.6667,2.33
cisnejo01,HOU,5,22,1,41,43.6667,4.12
claibpr01,NYA,7,14,2,42,50.3333,4.11
clarkza01,BAL,0,2,0,1,1.6667,16.2
clemepa02,HOU,16,26,2,49,73.3333,5.4
cletoma01,SLN,1,1,2,5,2.3333,19.29
clippty01,WAS,9,24,4,73,71.0000,2.41
cloydty01,PHI,7,25,1,41,60.3333,6.56
cobbal01,TBA,13,45,3,134,143.3333,2.76
coellro01,LAA,1,8,0,23,17.0000,3.71
cokeph01,DET,3,21,0,30,38.3333,5.4
colege01,PIT,7,28,3,100,117.3333,3.22
colemlo01,KCA,1,6,1,32,29.6667,0.61
colliti01,KCA,3,28,0,52,53.3333,3.54
collmjo01,ARI,8,33,2,85,92.0000,3.13
colomal01,TBA,2,9,1,12,16.0000,2.25
colonba01,OAK,14,29,0,117,190.3333,2.65
contrjo01,PIT,1,6,0,5,5.0000,9
cookry01,OAK,2,25,4,67,67.3333,2.54
corbipa01,ARI,19,54,9,178,208.3333,3.41
corpama01,COL,5,16,1,30,41.6667,4.54
correke01,MIN,24,45,2,101,185.3333,4.18
cosarja01,HOU,3,35,0,33,60.0000,1.95
cottsne01,TEX,2,18,0,65,57.0000,1.11
crainje01,CHA,0,11,1,46,36.6667,0.74
crowaa01,KCA,6,22,2,44,48.0000,3.38
cruzrh01,HOU,2,11,2,10,21.3333,3.38
cuetojo01,CIN,7,18,1,51,60.6667,2.82
cumptbr01,PIT,1,5,1,22,30.6667,2.05
daleyma01,NYA,0,0,1,8,6.0000,0
danksjo01,CHA,28,27,4,89,138.3333,4.75
darviyu01,TEX,26,80,8,277,209.6667,2.83
daviser02,WAS,0,1,0,12,8.6667,3.12
daviswa01,KCA,15,58,4,114,135.3333,5.32
dedunsa01,MIN,7,41,9,67,108.0000,3.83
defraju01,PHI,3,25,5,42,46.6667,3.86
delabst01,TOR,4,29,2,82,58.6667,3.22
delarda01,LAA,3,28,1,65,72.3333,2.86
delareu01,ARI,5,5,0,16,14.6667,7.36
delarjo01,COL,11,62,5,112,167.6667,3.49
delarru01,BOS,2,2,3,6,11.3333,5.56
delatjo01,BOS,2,10,1,15,11.3333,6.35
deleojo02,HOU,1,7,1,6,10.0000,5.4
delgara01,ARI,24,23,1,79,116.3333,4.26
dempsry01,BOS,26,79,6,157,171.3333,4.57
detwiro01,WAS,5,14,5,39,71.3333,4.04
devrico01,MIN,6,9,0,12,15.0000,10.8
diamosc01,MIN,21,36,1,52,131.0000,5.43
dickera01,TOR,35,71,10,177,224.6667,4.21
diekmja01,PHI,1,16,0,41,38.3333,2.58
dolisra01,CHN,0,2,0,0,5.0000,0
dominjo01,LAN,0,3,1,4,8.3333,2.16
doolise01,OAK,4,13,2,60,69.0000,3.13
doteloc01,DET,0,4,0,4,4.6667,13.5
doubrfe01,BOS,13,71,5,139,162.3333,4.32
downsda02,DET,4,11,2,37,35.3333,4.84
downssc01,LAA,1,11,2,22,29.3333,1.84
downssc01,ATL,0,8,0,15,14.0000,3.86
drabeky01,TOR,1,2,1,3,2.3333,7.71
duensbr01,MIN,4,22,2,56,61.0000,3.98
duffyda01,KCA,0,14,1,22,24.3333,1.85
dukeza01,WAS,2,8,1,11,20.6667,8.71
dukeza01,CIN,1,2,0,7,10.6667,0.84
dunnija01,SFN,2,11,3,16,25.3333,2.84
dunnmi01,MIA,5,28,0,72,67.6667,2.66
durbich01,PHI,4,9,0,16,16.0000,9
dwyerch01,KCA,0,1,0,2,3.0000,0
dysonsa01,MIA,2,5,1,5,11.0000,9
edginjo01,NYN,2,12,2,20,28.6667,3.77
elmorja01,HOU,0,0,0,0,1.0000,0
enrigba01,LAA,2,7,0,6,8.3333,12.96
eovalna01,MIA,7,40,1,78,106.3333,3.39
eppleco01,NYA,0,0,0,1,1.6667,21.6
erlinro01,SDN,6,15,0,40,54.6667,4.12
escaled01,COL,8,14,2,34,46.0000,5.67
estrama01,MIL,19,29,2,118,128.0000,3.87
familje01,NYN,2,9,0,8,10.6667,4.22
farnsky01,TBA,4,7,1,19,29.6667,5.76
farnsky01,PIT,1,3,0,9,8.6667,1.04
farquda01,SEA,2,22,0,79,55.6667,4.2
feldmsc01,CHN,10,25,3,67,91.0000,3.46
feldmsc01,BAL,9,31,6,65,90.6667,4.27
felicpe01,NYN,1,6,1,9,11.3333,3.97
felizne01,TEX,0,2,1,4,4.6667,0
fernajo02,MIA,10,58,5,187,172.6667,2.19
fieldjo03,HOU,8,18,0,40,38.0000,4.97
fienca01,MIN,9,12,0,73,62.0000,3.92
fiersmi01,MIL,8,6,0,15,22.3333,7.25
fifest01,LAN,7,20,5,45,58.3333,3.86
figaral01,MIL,15,15,1,54,74.0000,4.14
figuepe01,OAK,2,3,0,3,3.0000,12
fistedo01,DET,14,44,16,159,208.6667,3.67
floydga01,CHA,4,12,0,25,24.3333,5.18
flynnbr01,MIA,4,13,0,15,18.0000,8.5
fontwi01,TEX,0,2,0,0,1.3333,0
francfr01,NYN,0,3,1,6,6.3333,4.26
francje01,COL,12,24,1,63,70.3333,6.27
frasoja01,TEX,4,20,0,48,49.0000,2.57
freemju02,CIN,1,0,0,0,1.0000,18
freemsa01,SLN,0,5,0,8,12.3333,2.19
frierer01,LAA,11,30,3,98,68.6667,3.8
fujikky01,CHN,1,2,2,14,12.0000,5.25
fuldsa01,TBA,0,0,0,0,0.3333,0
furbuch01,SEA,5,29,3,80,65.0000,3.74
gallayo01,MIL,18,66,3,144,180.6667,4.18
garcifr02,BAL,16,12,1,26,53.0000,5.77
garcifr02,ATL,2,5,0,20,27.3333,1.65
garcija01,SFN,2,25,2,38,50.0000,2.16
garcija02,SLN,6,15,0,43,55.3333,3.58
garcilu03,PHI,3,23,1,23,31.3333,3.73
garcion01,LAN,1,4,0,1,1.3333,13.5
garlajo01,COL,9,23,2,32,68.0000,5.82
garzama01,CHN,8,20,4,62,71.0000,3.17
garzama01,TEX,12,22,1,74,84.3333,4.38
gastjo01,SLN,1,5,0,8,12.3333,5.11
